Control ID,Industry,Process,Sub-process,Risk ID,Risk,Risk rating,Control objective,Control description,Control type,Control nature,Frequency,Assertions,COSO component,Key control,Fraud relevant,Control owner,Segregation of duties,Test of design,Test of operating effectiveness,Population / evidence source,Sample size guidance
BNK-05,Banking and financial institutions,Credit & Lending,Collateral Management,R-BNK-05,"Collateral securing loans is not perfected, revalued or released correctly, overstating security and understating expected credit loss.",High,"Ensure collateral is legally perfected, periodically revalued and released only when the exposure is repaid.","Collateral is recorded in the collateral system only once legal perfection is evidenced by the Legal team; revaluations are performed at the frequency set by asset class using independent valuation sources, and releases require approval by Credit Risk independent of the relationship manager.",Preventive,IT-Dependent Manual,Per Transaction,"R&O, A/V",Control Activities,Yes,Yes,Head of Credit Risk,"The relationship manager cannot record, revalue or release collateral.","Inspect the collateral procedure, perfection checklist, revaluation frequency table and release workflow.","Select a sample of secured facilities; agree perfection evidence, latest revaluation and, for released collateral, approval and repayment.",Secured facilities and collateral releases in the period,40 facilities
BNK-06,Banking and financial institutions,Credit & Lending,Loan Disbursement,R-BNK-06,"Loan proceeds are disbursed to an account other than the approved borrower account, or before conditions precedent are satisfied.",High,Ensure disbursement occurs only after conditions precedent are met and only to the approved account.,Loan Operations verifies that all conditions precedent recorded in the credit approval are satisfied and that the disbursement account matches the approved borrower account before release; disbursement is authorised by two officers independent of credit origination.,Preventive,IT-Dependent Manual,Per Transaction,"E/O, R&O",Control Activities,Yes,Yes,Head of Loan Operations,Credit origination staff cannot execute or authorise disbursement.,"Inspect the disbursement checklist, condition precedent tracking and dual authorisation configuration.","Select a sample of disbursements; agree to satisfied conditions precedent, the approved account and dual authorisation.",All loan disbursements in the period,40 disbursements
BNK-07,Banking and financial institutions,Credit & Lending,Loan Classification and Staging,R-BNK-07,"Deteriorating loans are not migrated to the correct stage or classification, deferring impairment recognition.",High,Ensure loans are classified and staged in accordance with policy and observable credit deterioration indicators.,"The system applies staging rules based on days past due and qualitative deterioration triggers; monthly, Credit Risk reviews the staging migration report and all manual overrides of system-assigned staging require Credit Committee approval with documented rationale.",Detective,IT-Dependent Manual,Monthly,"A/V, C",Risk Assessment,Yes,Yes,Chief Risk Officer,Relationship managers cannot override staging assigned by the system.,"Inspect the staging rule configuration, override workflow and Credit Committee terms of reference.","For a sample of months, re-perform staging from days past due data and inspect approval of all overrides.",Monthly staging migration reports and override approvals,3 of 12 months
BNK-08,Banking and financial institutions,Credit & Lending,Interest and Fee Accrual,R-BNK-08,"Interest and fees are accrued on non-performing exposures or calculated on incorrect terms, overstating income.",High,Ensure interest and fee income is recognised on correct terms and ceases on non-performing exposures.,"The core banking system calculates interest from contracted terms and suspends accrual automatically on classification as non-performing; monthly, Financial Control reconciles interest income to the loan book and reviews an exception report of manually adjusted accruals.",Detective,IT-Dependent Manual,Monthly,"A/V, CO",Control Activities,Yes,No,Financial Controller,Staff maintaining loan terms cannot post manual interest adjustments.,"Inspect the accrual configuration, non-accrual suspension logic and reconciliation template.","For a sample of months, re-perform the interest reconciliation and test manual adjustments to approval.",Monthly interest income reconciliations,3 of 12 months
BNK-09,Banking and financial institutions,Credit & Lending,Loan Modifications and Forbearance,R-BNK-09,"Loans are restructured to avoid recognising default, so forbearance is not identified and impairment is understated.",High,Ensure modifications are identified as forbearance where applicable and are approved and disclosed correctly.,"All loan modifications are assessed against forbearance criteria by Credit Risk independent of the relationship manager, approved at the authority level set by exposure, and flagged in the system so that staging and disclosure reflect the modification.",Preventive,IT-Dependent Manual,Per Transaction,"A/V, P&D",Control Activities,Yes,Yes,Head of Credit Risk,The relationship manager proposing the modification cannot assess or approve its forbearance classification.,"Inspect the forbearance assessment criteria, approval matrix and system flagging.","Select a sample of modifications; agree the forbearance assessment, approval and system flag.",All loan modifications in the period,25 modifications
BNK-10,Banking and financial institutions,Credit & Lending,Write-Off and Recovery,R-BNK-10,"Loans are written off without authority to remove problem exposures from reporting, or recoveries are misappropriated.",High,Ensure write-offs are authorised at the correct level and recoveries are completely recorded.,"Write-offs require approval at the authority level set by exposure size, with evidence that recovery avenues have been exhausted; recoveries on written-off accounts are received into a designated account, reconciled monthly by Financial Control and reported to the Credit Committee.",Preventive,Manual,Event Driven,"E/O, C, A/V",Control Activities,Yes,Yes,Chief Risk Officer,Recovery collection staff do not authorise write-offs or reconcile recovery receipts.,"Inspect the write-off authority matrix, recovery reconciliation and committee reporting.",Select a sample of write-offs; agree approval and recovery evidence. Reconcile recoveries received to the ledger for a sample of months.,Write-offs and post write-off recoveries in the period,25 write-offs
BNK-11,Banking and financial institutions,Deposits & Payments,Customer Onboarding and Account Opening,R-BNK-11,"Accounts are opened without complete customer due diligence, breaching regulation and enabling illicit funds to enter the bank.",High,Ensure accounts are opened only where identification and due diligence requirements are satisfied.,"The onboarding workflow prevents account activation until identification, verification and risk rating are complete; enhanced due diligence for high-risk customers requires approval by Financial Crime Compliance independent of the relationship.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, R&O",Control Activities,Yes,Yes,Head of Financial Crime Compliance,Relationship staff cannot approve their own enhanced due diligence or override risk ratings.,Inspect the onboarding workflow configuration and enhanced due diligence approval routing.,"Select a sample of accounts opened; agree due diligence completeness, risk rating and any EDD approval.",All accounts opened during the period,40 accounts
BNK-12,Banking and financial institutions,Deposits & Payments,Deposit Interest Calculation,R-BNK-12,"Interest paid on customer deposits is calculated on incorrect rates or balances, misstating interest expense and customer balances.",Medium,Ensure deposit interest is calculated in accordance with product terms and approved rate tables.,"Rate tables are maintained by Product Control and independently verified before activation; monthly, Financial Control recalculates interest on a risk-based sample of products and reconciles total interest expense to the deposit book.",Detective,IT-Dependent Manual,Monthly,"A/V, C",Control Activities,Yes,No,Financial Controller,The preparer of the rate table does not approve its activation.,Inspect the rate maintenance procedure and the monthly recalculation and reconciliation.,"For a sample of months, re-perform the interest recalculation and agree the expense to the ledger.",Monthly deposit interest reconciliations,3 of 12 months
BNK-13,Banking and financial institutions,Deposits & Payments,Dormant and Unclaimed Balances,R-BNK-13,"Dormant accounts are reactivated fraudulently, or unclaimed balances are not escheated as required by regulation.",High,Ensure dormant balances are protected from unauthorised access and escheated in accordance with law.,"Accounts meeting the dormancy criteria are automatically blocked from transacting; reactivation requires customer identity verification and approval by a manager independent of branch operations, and unclaimed balances are reported and remitted to the authority on the statutory timetable.",Preventive,IT-Dependent Manual,Monthly,"E/O, C",Control Activities,Yes,Yes,Head of Operations,Branch staff who request reactivation cannot approve it.,"Inspect the dormancy configuration, reactivation approval workflow and escheatment procedure.",Test all reactivations in the period for verification and approval; agree escheatment to statutory deadlines.,Dormant account reactivations and escheatment submissions,All reactivations
BNK-14,Banking and financial institutions,Deposits & Payments,Fee and Charge Application,R-BNK-14,"Customer fees are applied that are not permitted by the product terms, generating remediation liabilities and regulatory censure.",Medium,"Ensure fees charged to customers are permitted, correctly calculated and disclosed.","Fee configuration changes require approval by Product Control and Compliance before activation; monthly, an exception report of manual fee applications and waivers is reviewed by the Head of Operations, and fee income is reconciled to the fee schedule.",Detective,IT-Dependent Manual,Monthly,"A/V, P&D",Control Activities,Yes,No,Head of Operations,Branch staff applying manual fees do not maintain the fee configuration.,Inspect the fee change approval process and the manual fee exception report.,"For a sample of months, re-perform the fee reconciliation and test manual applications and waivers for approval.",Monthly fee reconciliations and manual fee reports,3 of 12 months
