Reference,Industry,Process,Sub-process,Risk,Why this matters,Risk rating,Risk category,Audit objective,What to review,Procedures,Red flags,Evidence to request,Measures
IA-BNK-05,Banking and financial institutions,Credit & Lending,Credit Origination and Documentation,"Facilities are drawn on incomplete or unenforceable documentation, so the bank cannot enforce its rights on default.","If the paperwork behind a loan is incomplete, the bank may not be able to enforce it in court when the borrower stops paying.",High,Compliance,"Confirm credit documentation is complete, executed and enforceable before drawdown.","1. Completeness of the credit file — agreements, security, conditions precedent
2. Execution and legal review of non-standard documentation
3. Conditions precedent satisfied before disbursement
4. Document custody and retrieval
5. Covenant terms recorded in the monitoring system","1. Sample facilities and test the credit file for executed agreements and evidence of conditions precedent.
2. Test that non-standard terms received legal review before execution.
3. Test whether covenants in the agreement were loaded into the monitoring system, and completely.
4. Test document custody by requesting original security documents for a sample.","1. Drawdowns before conditions precedent satisfied
2. Covenants in the agreement absent from monitoring
3. Original documents that cannot be located
4. Non-standard terms agreed without legal review","1. Credit files and agreements
2. Disbursement records
3. Covenant monitoring system extract
4. Document custody records","1. Files complete
2. CPs satisfied pre-drawdown
3. Covenants loaded to monitoring"
IA-BNK-06,Banking and financial institutions,Credit & Lending,Collateral Valuation and Perfection,"Security is unperfected or valued on stale information, so realisable value on default is far below what is recorded.","Security is what the bank falls back on when a loan goes bad. If it was never registered properly or is worth less than recorded, that fallback is not there.",High,Financial,"Confirm collateral is legally perfected and valued on a current, independent basis.","1. Legal perfection — registration, charges, priority
2. Valuation frequency by asset class and independence of valuers
3. Loan-to-value monitoring and breach action
4. Insurance over charged assets
5. Release of security and its authorisation","1. Test perfection evidence for a sample of secured exposures, including registration at the relevant registry.
2. Test valuation currency against policy and re-perform loan-to-value calculations.
3. Test valuer independence and panel rotation.
4. Test that insurance over charged assets is current and the bank is noted as interested party.","1. Charges unregistered or registered late
2. Valuations years out of date on volatile asset classes
3. Same valuer used for all exposures to one borrower
4. Insurance lapsed on charged property","1. Collateral register and legal files
2. Registry search results
3. Valuation reports
4. Insurance certificates","1. Exposures with perfected security
2. Valuations within policy age
3. LTV breaches actioned"
IA-BNK-07,Banking and financial institutions,Credit & Lending,Covenant Monitoring,"Borrower covenant breaches are not detected, so deterioration is not acted on and the bank loses its intervention rights.",Loan agreements contain promises the borrower must keep. Nobody checking them means the bank misses the early warning that the borrower is in trouble.,High,Financial,Confirm borrower covenants are monitored and breaches escalated and acted upon.,"1. Completeness of covenants captured from agreements
2. Receipt and review of borrower financial information
3. Timeliness of covenant testing after each reporting date
4. Waiver and amendment authority
5. Link between breach and risk grading or staging","1. Recompute covenants for a sample of borrowers from their submitted financials.
2. Test whether borrower information was received on time and chased when late.
3. Test waivers granted for authorisation at the correct level and for whether pricing or security was adjusted.
4. Test whether breaches fed through to risk grading.","1. Waivers granted routinely to the same borrowers
2. Financial information outstanding for months
3. Covenants recomputed only at year end
4. Breaches with no effect on grading","1. Facility agreements
2. Borrower financial submissions
3. Covenant testing records
4. Waiver approvals","1. Covenants tested on time
2. Waivers granted
3. Breaches reflected in grading"
IA-BNK-08,Banking and financial institutions,Credit & Lending,Problem Loan and Watchlist Management,"Deteriorating exposures are not moved to specialist management early enough, reducing recovery.","The earlier a struggling borrower is handed to specialists, the more money the bank gets back.",High,Financial,Assess whether early warning indicators work and problem exposures are managed by the right people.,"1. Early warning indicator design, coverage and response
2. Watchlist criteria and transfer to specialist workout
3. Independence of workout from origination
4. Recovery strategies and their execution
5. Provisioning alignment with the workout view","1. Test whether early warning indicators triggered and what happened when they did.
2. Compare the date deterioration was observable in data to the date the exposure was watchlisted.
3. Test that workout management is independent of the originating relationship manager.
4. Compare recovery outcomes to strategies agreed at transfer.","1. Exposures watchlisted only once past due
2. Relationship managers retaining problem exposures
3. Indicators triggering with no recorded response
4. Recovery strategies never revisited","1. Early warning reports
2. Watchlist and transfer records
3. Workout files
4. Recovery outcomes","1. Time from indicator to watchlist
2. Exposures in workout
3. Recovery rate"
IA-BNK-09,Banking and financial institutions,Credit & Lending,Credit Risk Models and Rating Integrity,"Internal ratings and credit models are inaccurate or overridden, understating risk and regulatory capital.",Ratings drive how much the loan costs and how much capital the bank must hold. Inflated ratings make the bank look safer than it is.,High,Financial,"Assess the integrity, validation and use of internal credit ratings and models.","1. Model development, validation and approval governance
2. Rating override frequency, direction and justification
3. Data quality feeding models
4. Back-testing of predicted against actual default
5. Use test — whether ratings actually drive decisions and pricing","1. Analyse rating overrides by direction and originator; overrides consistently improving ratings warrant testing.
2. Review validation reports and test whether findings were remediated.
3. Back-test rating performance against realised defaults.
4. Test whether ratings genuinely drive pricing and approval, or are produced after the decision.","1. Overrides almost always upward
2. Validation findings open across cycles
3. Models unchanged despite deteriorating performance
4. Ratings assigned after the credit decision","1. Model documentation and validation reports
2. Rating and override data
3. Default history
4. Pricing records","1. Override rate and direction
2. Validation findings open
3. Back-test accuracy"
IA-BNK-10,Banking and financial institutions,Credit & Lending,Concentration and Large Exposures,Exposure concentrations breach regulatory or internal limits because connected counterparties are not grouped correctly.,"Lending too much to one customer, or several linked ones, means a single failure can hurt the whole bank. Regulators cap this for good reason.",High,Compliance,Confirm exposures are aggregated correctly and remain within limits.,"1. Connected counterparty identification and grouping
2. Aggregation across products, entities and geographies
3. Regulatory large exposure limits and internal appetite
4. Sector, geographic and collateral concentration
5. Breach identification and escalation","1. Test the grouping of connected counterparties against ownership and control data.
2. Recompute large exposures against regulatory limits at several dates.
3. Analyse concentration by sector and geography against appetite.
4. Test escalation of breaches and whether limits were raised rather than exposures reduced.","1. Connected borrowers treated as unrelated
2. Exposure aggregation excluding off-balance sheet commitments
3. Limits raised immediately after a breach
4. Concentration reported only at year end","1. Exposure data by counterparty and group
2. Ownership and control information
3. Limit framework
4. Breach records","1. Exposures over limit
2. Groups correctly aggregated
3. Breach escalations"
IA-BNK-11,Banking and financial institutions,Financial Crime,Customer Due Diligence and Risk Rating,"Customer risk is rated incorrectly at onboarding, so the level of due diligence and monitoring applied is wrong from the start.",How risky a customer is decided at the start determines how closely they are watched forever after. Getting it wrong at onboarding is a mistake that persists.,High,Compliance,Confirm customer risk rating drives due diligence and is refreshed as behaviour changes.,"1. Risk rating methodology and its factors
2. Enhanced due diligence for high-risk customers and PEPs
3. Beneficial ownership identification and verification
4. Periodic review cycles by risk tier
5. Rating overrides and who may make them","1. Sample customers across risk tiers and test that due diligence matches the rating applied.
2. Test beneficial ownership identification for corporate customers, including layered structures.
3. Test rating overrides for approval and rationale.
4. Quantify overdue periodic reviews and test whether high-risk customers continued transacting.","1. Ratings downgraded to avoid enhanced due diligence
2. Beneficial ownership recorded as the immediate holder only
3. Periodic reviews overdue on the highest-risk customers
4. Overrides made by relationship staff","1. Customer files and risk ratings
2. Beneficial ownership records
3. Periodic review reports
4. Override logs","1. EDD completed for high risk
2. Overdue reviews
3. Ownership verified"
IA-BNK-12,Banking and financial institutions,Financial Crime,Correspondent Banking and Trade Finance,Correspondent and trade finance relationships are used to move illicit funds because the underlying activity is not scrutinised.,"Trade finance and correspondent banking move money across borders in ways that are hard to see through, which is exactly why criminals use them.",High,Compliance,Assess controls over higher-risk financial crime channels.,"1. Correspondent bank due diligence and Wolfsberg-style questionnaires
2. Nested and downstream relationship identification
3. Trade document review for dual-use goods and price manipulation
4. Sanctions screening on trade parties, vessels and ports
5. Country and product risk assessment","1. Test correspondent due diligence currency and whether nested relationships were identified.
2. Sample trade transactions and test document review for over- or under-invoicing and dual-use goods.
3. Test vessel and port screening on shipping documents.
4. Test whether high-risk corridors receive additional scrutiny.","1. Correspondent questionnaires years old
2. Nested relationships discovered by the regulator
3. Trade documents reviewed for form only
4. Vessels not screened","1. Correspondent due diligence files
2. Trade transaction files and documents
3. Screening records
4. Country risk assessments","1. Correspondents with current DD
2. Trade files with substantive review
3. Screening coverage"
IA-BNK-13,Banking and financial institutions,Financial Crime,Fraud Detection and Customer Protection,"Customers are defrauded through account takeover, authorised push payment scams or card fraud, and the bank bears loss and censure.","When customers are defrauded, the bank often has to reimburse them, and regulators judge how well it protected them.",High,Fraud,"Assess the effectiveness of fraud prevention, detection and customer reimbursement.","1. Authentication and step-up controls for payments and account changes
2. Fraud detection rules, machine learning models and their tuning
3. Confirmation of payee and scam warnings
4. Reimbursement decisions and their consistency
5. Mule account detection","1. Analyse fraud losses by type and channel and test whether controls were adjusted after each pattern emerged.
2. Test authentication for high-risk actions such as payee changes and device registration.
3. Review reimbursement decisions for consistency with the regulatory standard.
4. Test mule account detection — accounts receiving and rapidly dispersing funds.","1. Losses rising in a channel with no rule change
2. Reimbursement declined inconsistently
3. Mule accounts identified only after victim reports
4. Step-up authentication bypassable through a channel","1. Fraud loss data by type
2. Detection rule configuration
3. Reimbursement decisions
4. Mule account investigations","1. Fraud loss rate
2. Detection rate before customer report
3. Reimbursement consistency"
IA-BNK-14,Banking and financial institutions,Financial Crime,"Anti-Bribery, Corruption and Tax Evasion Facilitation","The bank facilitates bribery or tax evasion through its customers or its own conduct, triggering corporate criminal liability.","Companies can be prosecuted for failing to prevent bribery or tax evasion by people acting for them, even if senior management knew nothing.",High,Compliance,Assess the adequacy of procedures to prevent facilitation of financial crime by staff and associates.,"1. Risk assessment for bribery and facilitation of tax evasion
2. Gifts, hospitality and political donation controls
3. Third-party intermediaries and introducer arrangements
4. Training for high-risk roles
5. Investigation and reporting of suspected facilitation","1. Test the bribery and facilitation risk assessment for coverage of the actual business model.
2. Review the gifts and hospitality register for completeness and approval of high-value items.
3. Test due diligence on introducers and intermediaries and the basis of their remuneration.
4. Test training completion for high-risk and client-facing roles.","1. Introducers paid success fees with no due diligence
2. Gifts register with implausibly few entries
3. Risk assessment not covering key jurisdictions
4. Training completion low in front-office roles","1. Risk assessments
2. Gifts and hospitality register
3. Introducer agreements and payments
4. Training records","1. High-risk roles trained
2. Introducers with due diligence
3. Register entries vs. expectation"
